model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0042,17.21,4,24.9,437.59,82.27,0.88,"[108, 214, 94, 103, 379, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 40, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0043,0.6,2,7.66,61.06,84.22,0.51,"[318, 32, 199, 286, 242, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0044,4.146,4,73.95,291.73,81.24,0.49,"[45, 197, 118, 339, 231, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0045,15.946,34,650.83,520.21,81.92,0.75,"[50, 174, 295, 56, 193, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0046,8.266,21,1052.21,1984.63,83.67,0.89,"[86, 96, 70, 320, 95, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0047,42.082,6,222.36,221.18,80.97,0.51,"[92, 329, 210, 43, 379, 382]","{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 40, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0048,11.816,10,164.8,476.28,96.54,0.83,"[330, 85, 324, 100, 283, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0049,16.519,12,88.71,97.54,87.75,0.51,"[327, 229, 7, 231, 343, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0050,21.746,13,57.18,437.59,84.18,0.6,"[74, 345, 348, 136, 291, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0051,22.77,16,334.97,1179.65,84.57,0.83,"[139, 233, 196, 67, 110, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0052,15.954,12,298.33,819.2,83.64,0.82,"[161, 310, 178, 355, 10, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0053,2.378,5,97.97,435.55,82.66,0.8,"[105, 318, 325, 284, 20, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0054,7.05,16,251.02,262.14,84.72,0.51,"[15, 264, 341, 55, 85, 382]","{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0055,0.546,5,5.75,72.59,83.03,0.69,"[41, 286, 344, 188, 345, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0056,16.737,7,119.31,352.8,83.43,0.83,"[276, 158, 180, 357, 182, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0057,6.361,8,396.74,88.75,82.15,0.82,"[312, 110, 52, 8, 41, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0058,26.978,13,409.75,884.74,82.51,0.89,"[103, 6, 146, 90, 157, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0059,1.765,2,22.33,54.7,81.32,0.49,"[239, 277, 219, 48, 307, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0060,57.385,10,89.98,141.12,97.91,0.51,"[238, 85, 325, 39, 315, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0061,5.88,6,25.35,69.12,86.51,0.79,"[282, 139, 254, 189, 92, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0062,1.598,1,8.62,54.7,83.52,0.51,"[345, 287, 345, 136, 294, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0063,1.754,3,19.74,437.59,83.12,0.79,"[82, 203, 115, 265, 250, 382]","{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0064,10.634,7,113.82,428.66,85.13,0.51,"[241, 381, 328, 335, 328, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""dropout"", 0.2], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0065,14.088,15,174.9,729.32,88.98,0.87,"[280, 153, 138, 80, 44, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0066,4.04,5,59.9,252,83.94,0.83,"[318, 138, 113, 20, 381, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""dropout"", 0.2], ""5"": [2, ""softmax""]}"
model_0067,1.56,3,69.75,110.59,82.75,0.51,"[331, 91, 273, 114, 335, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0068,5.425,5,100.15,192.2,83.39,0.8,"[308, 174, 90, 8, 353, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0069,2.062,2,16.67,54.7,79.7,0.51,"[261, 289, 79, 43, 60, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0070,5.384,17,91.11,317.52,82.91,0.7,"[220, 29, 63, 202, 223, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0071,8.108,2,6.95,54.7,83.97,0.84,"[328, 216, 260, 6, 112, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0072,21.554,5,24.11,51.2,96.58,0.49,"[6, 330, 43, 147, 231, 382]","{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0073,2.014,3,20.33,54.7,87.82,0.75,"[323, 280, 139, 251, 237, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0074,3.202,6,83.78,294.91,83.59,0.77,"[31, 154, 120, 13, 258, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0075,2.106,2,32.61,65.74,83.32,0.84,"[24, 23, 40, 192, 27, 382]","{""0"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0076,236.066,10,93.01,146.56,84.96,0.51,"[355, 184, 143, 61, 377, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Dense"", 36, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0077,29.898,13,293.48,212.99,83,0.86,"[164, 180, 112, 223, 173, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0078,0.375,5,55.97,112.05,83.05,0.49,"[195, 270, 347, 23, 287, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0079,28.138,19,138.14,147.92,83.1,0.91,"[168, 136, 40, 276, 134, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0080,4.13,20,243.19,823.07,82.03,0.76,"[146, 198, 23, 67, 247, 382]","{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0081,7.962,8,10.08,65.54,82.15,0.73,"[116, 32, 84, 105, 227, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0082,6.218,2,37.49,145.86,81.91,0.71,"[10, 329, 127, 125, 81, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0083,3.874,6,70.75,317.52,82.39,0.74,"[66, 58, 230, 317, 115, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0084,1.448,1,16.08,54.7,94.75,0.58,"[189, 7, 66, 332, 197, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0085,0.239,1,14.02,54.7,84.58,0.51,"[323, 348, 292, 316, 190, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0086,3.258,9,157.74,580.74,83.08,0.51,"[141, 109, 331, 299, 17, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0087,0.926,6,30.15,62.72,83.1,0.51,"[244, 249, 117, 312, 246, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0088,3.122,3,42.43,729.32,82.52,0.76,"[156, 224, 353, 186, 316, 382]","{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0089,3.408,2,20.67,54.7,83.65,0.78,"[251, 19, 190, 331, 180, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
