model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_0928,280.828,,0.0,159.16,,"[34, 13, 22, 47, 32, 10, 4, 24, 36, 3, 37, 29, 36, 38, 1, 5, 31, 9, 47, 49]",20,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""1"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""2"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""3"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""4"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""7"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""15"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""17"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""18"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""19"": [""end"", 0.001, 2, ""softmax""]}"
model_0929,1169.564,77.61,61.44,121.85,0.5,"[41, 44, 2, 8, 25, 27, 9, 12, 36, 35, 40, 3, 17, 39, 18, 39, 20, 22, 12, 3, 3, 5, 42, 49]",24,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""7"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""11"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""17"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""18"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""19"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""20"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""21"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""22"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""23"": [""end"", 0.001, 2, ""softmax""]}"
model_0930,180.93,,0.0,145.95,,"[15, 16, 39, 37, 2, 47, 27, 5, 39, 37, 2, 5, 22, 49]",14,"{""0"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""10"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""11"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""12"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0931,163.046,207.96,512.06,121.77,0.5,"[39, 34, 5, 1, 12, 29, 40, 11, 11, 33, 43, 29, 46, 15, 43, 49]",16,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""4"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""7"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""13"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""end"", 0.001, 2, ""softmax""]}"
model_0932,727.058,126.28,528.38,120.15,0.5,"[12, 36, 26, 2, 44, 24, 38, 46, 11, 47, 1, 4, 23, 30, 13, 28, 8, 41, 23, 49]",20,"{""0"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""4"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""5"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""8"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""9"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""10"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""11"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""16"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""19"": [""end"", 0.001, 2, ""softmax""]}"
model_0933,390.626,,0.0,174.95,,"[9, 7, 26, 46, 14, 15, 3, 26, 33, 19, 37, 1, 6, 33, 41, 21, 18, 49]",18,"{""0"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""4"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""5"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""9"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""12"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""15"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""16"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
model_0934,490.45,288.82,952.83,119.24,0.5,"[12, 25, 28, 22, 46, 11, 6, 14, 21, 42, 3, 49]",12,"{""0"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""4"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""5"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""8"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""11"": [""end"", 0.001, 2, ""softmax""]}"
model_0935,2968.46,288.82,1097.73,123.52,0.5,"[41, 24, 12, 19, 24, 10, 5, 48, 28, 39, 15, 44, 13, 28, 43, 10, 38, 22, 20, 36, 29, 49]",22,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""7"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""11"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""12"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""18"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""21"": [""end"", 0.001, 2, ""softmax""]}"
model_0936,471.394,,0.0,125.28,,"[24, 47, 10, 23, 5, 14, 31, 9, 37, 16, 10, 14, 49]",13,"{""0"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""1"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""2"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""5"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""7"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""10"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""11"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""12"": [""end"", 0.001, 2, ""softmax""]}"
model_0937,510.092,0.0,574.72,133.25,,"[42, 19, 1, 44, 33, 19, 29, 8, 17, 12, 20, 7, 33, 28, 36, 1, 49]",17,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""3"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""4"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""8"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""9"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""10"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""16"": [""end"", 0.001, 2, ""softmax""]}"
model_0938,198.594,,0.0,182.36,,"[23, 9, 47, 40, 16, 18, 2, 45, 7, 35, 12, 2, 44, 12, 33, 49]",16,"{""0"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""2"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""4"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""7"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""8"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""12"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""13"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""15"": [""end"", 0.001, 2, ""softmax""]}"
model_0939,28.762,0.0,1065.09,137.41,,"[38, 44, 37, 26, 27, 7, 45, 38, 43, 4, 28, 46, 27, 6, 40, 37, 41, 48, 21, 49]",20,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""6"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""9"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""16"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""17"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""18"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""19"": [""end"", 0.001, 2, ""softmax""]}"
model_0940,236.674,77.08,268.29,116.0,0.5,"[8, 16, 26, 15, 38, 36, 32, 8, 45, 10, 47, 34, 34, 1, 43, 2, 33, 49]",18,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""1"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""7"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""8"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""9"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""13"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
model_0941,2766.114,148.13,1064.96,145.2,0.5,"[6, 24, 3, 35, 28, 18, 21, 23, 9, 39, 40, 2, 13, 28, 49]",15,"{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""1"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""7"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""11"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""12"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""14"": [""end"", 0.001, 2, ""softmax""]}"
model_0942,848.37,231.07,1056.77,137.44,0.5,"[5, 12, 41, 41, 17, 35, 15, 31, 8, 10, 12, 29, 46, 23, 43, 30, 3, 11, 43, 46, 22, 34, 49]",23,"{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""8"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""9"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""10"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""13"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""18"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""19"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""20"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""21"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""22"": [""end"", 0.001, 2, ""softmax""]}"
model_0943,1825.346,,0.0,354.74,,"[17, 24, 22, 42, 35, 29, 31, 12, 39, 25, 21, 29, 36, 49]",14,"{""0"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""2"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""7"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""10"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0944,1245.522,,0.0,322.3,,"[17, 26, 20, 36, 48, 48, 26, 39, 47, 2, 41, 22, 14, 25, 38, 25, 16, 4, 20, 15, 29, 42, 29, 13, 26, 35, 47, 32, 2, 15, 41, 49]",32,"{""0"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""5"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""9"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""12"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""16"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""17"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""19"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""20"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""21"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""22"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""23"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""24"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""25"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""26"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""27"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""28"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""29"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""30"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""31"": [""end"", 0.001, 2, ""softmax""]}"
model_0945,899.09,34.65,163.84,125.89,0.5,"[11, 48, 6, 32, 38, 2, 27, 26, 34, 41, 17, 16, 27, 16, 43, 14, 3, 9, 9, 8, 10, 32, 23, 33, 3, 49]",26,"{""0"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""11"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""16"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""18"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""19"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""20"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""21"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""22"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""23"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""24"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""25"": [""end"", 0.001, 2, ""softmax""]}"
