model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_041,16.887999999999998,,,,0.87,"[282, 133, 280, 8, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_042,3.9589999999999996,,,,0.76,"[299, 234, 42, 382]",4,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_043,40.609,,,,0.51,"[233, 74, 194, 105, 136, 382]",6,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_044,42.367,,,,0.78,"[316, 196, 168, 290, 161, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_045,11.962,,,,0.51,"[41, 256, 258, 40, 134, 157, 263, 216, 382]",9,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_046,13.08,,,,0.75,"[248, 166, 111, 315, 140, 10, 5, 124, 382]",9,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""6"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_047,118.82600000000001,,,,0.51,"[23, 325, 315, 111, 382]",5,"{""0"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_048,10.33,,,,0.8,"[84, 350, 169, 6, 235, 42, 382]",7,"{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_049,2.4619999999999997,,,,0.49,"[72, 145, 344, 262, 228, 357, 319, 362, 382]",9,"{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""7"": [""Dense"", 4, ""relu""], ""8"": [2, ""softmax""]}"
model_050,15.682,,,,0.75,"[129, 286, 121, 382]",4,"{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_051,7.154,,,,0.51,"[82, 37, 117, 113, 8, 1, 4, 114, 187, 79, 68, 382]",12,"{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""7"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""9"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""10"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""11"": [2, ""softmax""]}"
model_052,7.185,,,,0.79,"[237, 3, 354, 382]",4,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_053,2.024,,,,0.51,"[220, 83, 34, 328, 223, 6, 186, 382]",8,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_054,0.721,,,,0.8,"[309, 36, 358, 382]",4,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_055,1.642,,,,0.51,"[55, 13, 232, 269, 26, 281, 5, 276, 201, 382]",10,"{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_056,1.521,,,,0.51,"[198, 48, 199, 289, 56, 353, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_057,4.6739999999999995,,,,0.8,"[105, 114, 263, 382]",4,"{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_058,4.592,,,,0.85,"[353, 54, 34, 104, 116, 326, 382]",7,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_059,2.398,,,,0.54,"[288, 324, 126, 205, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_060,86.874,,,,0.87,"[100, 161, 306, 268, 382]",5,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_061,7.626,,,,0.51,"[88, 85, 223, 37, 278, 4, 302, 7, 90, 226, 240, 126, 382]",13,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""7"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""9"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""10"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""11"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""12"": [2, ""softmax""]}"
model_062,22.346,,,,0.51,"[40, 136, 62, 232, 359, 175, 126, 344, 290, 382]",10,"{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""9"": [2, ""softmax""]}"
model_063,14.63,,,,0.51,"[188, 349, 49, 325, 327, 138, 158, 344, 261, 75, 116, 27, 382]",13,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""9"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""10"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""11"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""12"": [2, ""softmax""]}"
model_064,30.641,,,,0.51,"[194, 37, 184, 122, 223, 348, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_065,21.133000000000003,,,,0.51,"[316, 235, 186, 156, 170, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_066,6.05,,,,0.49,"[87, 193, 6, 77, 79, 17, 62, 127, 382]",9,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""7"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_067,10.45,,,,0.51,"[111, 150, 233, 185, 62, 234, 110, 237, 217, 57, 382]",11,"{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""6"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""9"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_068,45.402,,,,0.85,"[146, 166, 329, 382]",4,"{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_069,11.376,,,,0.78,"[334, 154, 44, 111, 99, 382]",6,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_070,2.186,,,,0.51,"[18, 320, 249, 63, 301, 317, 382]",7,"{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_071,11.106,,,,0.77,"[90, 137, 13, 294, 165, 229, 382]",7,"{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_072,32.562,,,,0.51,"[105, 135, 244, 108, 343, 170, 62, 28, 201, 184, 15, 40, 74, 146, 382]",15,"{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""7"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""10"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""11"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""12"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""13"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""14"": [2, ""softmax""]}"
model_073,14.504000000000001,,,,0.51,"[242, 51, 51, 142, 1, 47, 231, 135, 356, 382]",10,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""9"": [2, ""softmax""]}"
model_074,10.762,,,,0.51,"[170, 24, 91, 94, 195, 55, 289, 152, 185, 299, 60, 203, 382]",13,"{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""10"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""11"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""12"": [2, ""softmax""]}"
model_075,8.24,,,,0.49,"[318, 18, 77, 350, 139, 321, 319, 382]",8,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_076,80.032,,,,0.75,"[325, 30, 173, 382]",4,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_077,14.224,,,,0.7,"[191, 126, 158, 120, 291, 123, 382]",7,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_078,2.7439999999999998,,,,0.51,"[317, 120, 30, 299, 382]",5,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_079,15.425999999999998,,,,0.8,"[86, 126, 342, 131, 354, 381, 73, 16, 112, 181, 166, 382]",12,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [""dropout"", 0.2], ""6"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""8"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""10"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""11"": [2, ""softmax""]}"
