model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_031,29.706,,,,0.86,"[3, 10, 290, 382]",4,"{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_032,18.682000000000002,,,,0.49,"[120, 227, 164, 104, 182, 60, 163, 9, 195, 243, 382]",11,"{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_033,48.78,,,,0.81,"[312, 198, 87, 66, 232, 373, 382]",7,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""Dense"", 28, ""sigmoid""], ""6"": [2, ""softmax""]}"
model_034,3.343,,,,0.51,"[258, 275, 63, 193, 227, 167, 300, 382]",8,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""7"": [2, ""softmax""]}"
model_035,16.617,,,,0.77,"[268, 169, 7, 38, 153, 265, 49, 382]",8,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_036,1.601,,,,0.51,"[235, 354, 255, 332, 184, 382]",6,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_037,10.815999999999999,,,,0.49,"[313, 25, 103, 305, 349, 122, 201, 382]",8,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_038,18.229,,,,0.51,"[295, 181, 302, 114, 291, 162, 82, 135, 86, 381, 59, 316, 240, 382]",14,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""6"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""9"": [""dropout"", 0.2], ""10"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""11"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""12"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""13"": [2, ""softmax""]}"
model_039,10.634,,,,0.82,"[142, 157, 74, 20, 320, 70, 28, 15, 382]",9,"{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""6"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""7"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_040,17.954,,,,0.75,"[107, 175, 155, 233, 161, 382]",6,"{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
