model,params [K],accuracy,token_sequence,model_info
model_0583,7.17,0.68,"[178, 64, 228, 261, 273, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0584,5.074,0.76,"[4, 341, 164, 215, 283, 382]","{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0585,0.071,0.51,"[191, 333, 324, 204, 223, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0586,18.658,0.51,"[169, 254, 71, 14, 108, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0587,2.297,0.49,"[275, 153, 298, 258, 151, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0588,1.312,0.51,"[330, 88, 335, 44, 298, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0589,107.505,0.51,"[232, 122, 141, 229, 241, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0590,2.562,0.74,"[175, 9, 211, 95, 185, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0591,0.167,0.51,"[275, 324, 206, 353, 185, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0592,0.176,0.51,"[245, 238, 353, 210, 266, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0593,4.726,0.76,"[259, 191, 20, 174, 16, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0594,46.444,0.49,"[316, 149, 226, 131, 369, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0595,17.696,0.56,"[297, 61, 65, 125, 174, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0596,14.314,0.82,"[105, 254, 180, 58, 130, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0597,31.144,0.51,"[295, 38, 243, 229, 234, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0598,2.258,0.72,"[82, 31, 187, 359, 1, 382]","{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0599,2.57,0.73,"[89, 77, 236, 115, 201, 382]","{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0600,8.248,0.51,"[248, 1, 49, 15, 251, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0601,1.23,0.74,"[320, 186, 11, 241, 156, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0602,1.544,0.49,"[215, 14, 224, 322, 129, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0603,3.81,0.51,"[137, 360, 298, 217, 194, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0604,31.199,0.83,"[313, 343, 26, 38, 332, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0605,3.73,0.5,"[246, 320, 353, 254, 3, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0606,26.203,0.51,"[201, 244, 134, 311, 361, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Dense"", 4, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0607,7.426,0.73,"[124, 344, 224, 242, 299, 382]","{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0608,22.53,0.51,"[84, 157, 291, 349, 108, 382]","{""0"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0609,1.946,0.49,"[131, 19, 199, 81, 293, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0610,8.802,0.8,"[64, 269, 202, 166, 85, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0611,7.058,0.51,"[115, 315, 215, 95, 339, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0612,17.953,0.51,"[312, 145, 349, 98, 83, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0613,11.994,0.88,"[144, 158, 222, 52, 342, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0614,4.885,0.51,"[214, 311, 257, 110, 131, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0615,4.344,0.49,"[260, 151, 39, 352, 249, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0616,20.112,0.85,"[354, 124, 150, 26, 125, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0617,64.362,0.79,"[246, 256, 36, 338, 369, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0618,3.162,0.51,"[131, 295, 242, 281, 153, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0619,2.882,0.53,"[55, 355, 253, 354, 42, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0620,15.378,0.81,"[176, 121, 215, 105, 302, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0621,25.53,0.52,"[67, 95, 339, 340, 327, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0622,0.671,0.51,"[327, 310, 29, 335, 23, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0623,1.778,0.53,"[168, 309, 330, 37, 228, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0624,5.234,0.51,"[45, 211, 163, 3, 129, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0625,15.37,0.51,"[59, 221, 107, 137, 124, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0626,276.286,0.51,"[10, 28, 173, 86, 374, 382]","{""0"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Dense"", 28, ""relu""], ""5"": [2, ""softmax""]}"
model_0627,14.009,0.65,"[301, 168, 135, 203, 201, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0628,3556.852,0.51,"[282, 112, 220, 280, 373, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Dense"", 28, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0629,4.289,0.85,"[234, 168, 54, 16, 320, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0630,34.122,0.78,"[174, 253, 260, 278, 176, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0631,5.722,0.75,"[180, 32, 323, 123, 321, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0632,3.754,0.76,"[178, 317, 248, 47, 73, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0633,10.562,0.49,"[26, 188, 153, 307, 183, 382]","{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
